"Number_of_CpG_used","Number_of_Phenotype_Features_Used","Total_Number_of_features_before_Preprocessing","Number_of_features_after_processing","Classification_Type","Number_of_Key_features_Selected_.Mean.Median.","Number_of_Key_features_remained_based_on_frequency_methods","Metrics_Stage","Metric","Logistic_regression","Elastic_Net","XGBoost","Random_Forest","SVM"
5000,5,5005,313,"Binary",250,271,"Model Train Stage","Training Accuracy",0.997797356828194,0.973568281938326,1,1,0.991189427312775
5000,5,5005,313,"Binary",250,271,"Model Train Stage","Test Accuracy",0.876288659793814,0.896907216494845,0.752577319587629,0.670103092783505,0.865979381443299
5000,5,5005,313,"Binary",250,271,"Model Train Stage","Test Kappa",0.709508360369354,0.756036217303823,0.375536480686695,0.0487281642660127,0.705786280914606
5000,5,5005,313,"Binary",250,271,"Model Train Stage","AUC",0.914891098484849,0.945785984848485,0.760298295454545,0.690044981060606,0.915601325757576
5000,5,5005,313,"Binary",250,271,"Model Train Stage","Average Test Accuracy during Cross Validation",0.729515669515669,0.722637973137973,0.638159227603672,0.663760683760684,0.82962148962149
5000,5,5005,313,"Binary",250,271,"Key Feature Evaluation (Select based on Mean) ","Training Accuracy",0.997797356828194,0.997797356828194,1,1,0.980176211453744
5000,5,5005,313,"Binary",250,271,"Key Feature Evaluation (Select based on Mean) ","Test Accuracy",0.855670103092783,0.902061855670103,0.690721649484536,0.670103092783505,0.850515463917526
5000,5,5005,313,"Binary",250,271,"Key Feature Evaluation (Select based on Mean) ","Test Kappa",0.663694898464586,0.770913610938471,0.232189973614776,0.0664661654135336,0.673021039172382
5000,5,5005,313,"Binary",250,271,"Key Feature Evaluation (Select based on Mean) ","AUC",0.899502840909091,0.915719696969697,0.739820075757576,0.701586174242424,0.942116477272727
5000,5,5005,313,"Binary",250,271,"Key Feature Evaluation (Select based on Mean) ","Average Test Accuracy during Cross Validation",0.748329941663275,0.727929792429792,0.652953014064125,0.665958485958486,0.825982905982906
5000,5,5005,313,"Binary",250,271,"Key Feature Evaluation (Select based on Median) ","Training Accuracy",0.997797356828194,0.997797356828194,1,1,0.984581497797357
5000,5,5005,313,"Binary",250,271,"Key Feature Evaluation (Select based on Median) ","Test Accuracy",0.871134020618557,0.891752577319588,0.670103092783505,0.654639175257732,0.819587628865979
5000,5,5005,313,"Binary",250,271,"Key Feature Evaluation (Select based on Median) ","Test Kappa",0.703146039906965,0.748735660540274,0.181002638522427,-0.000615858352578968,0.610977426377908
5000,5,5005,313,"Binary",250,271,"Key Feature Evaluation (Select based on Median) ","AUC",0.90920928030303,0.924360795454546,0.726207386363636,0.714251893939394,0.907078598484849
5000,5,5005,313,"Binary",250,271,"Key Feature Evaluation (Select based on Median) ","Average Test Accuracy during Cross Validation",0.768169854836521,0.735517704517704,0.646078324967214,0.662262922262922,0.845795685795686
5000,5,5005,313,"Binary",250,271,"Key Feature Evaluation (Select based on Frequency) ","Training Accuracy",1,0.997797356828194,1,1,0.984581497797357
5000,5,5005,313,"Binary",250,271,"Key Feature Evaluation (Select based on Frequency) ","Test Accuracy",0.860824742268041,0.891752577319588,0.685567010309278,0.680412371134021,0.896907216494845
5000,5,5005,313,"Binary",250,271,"Key Feature Evaluation (Select based on Frequency) ","Test Kappa",0.681812659458146,0.746799254195152,0.209696807800187,0.0784554091327,0.778488239324047
5000,5,5005,313,"Binary",250,271,"Key Feature Evaluation (Select based on Frequency) ","AUC",0.907433712121212,0.931463068181818,0.729285037878788,0.718158143939394,0.963186553030303
5000,5,5005,313,"Binary",250,271,"Key Feature Evaluation (Select based on Frequency) ","Average Test Accuracy during Cross Validation",0.746134852801519,0.728858974358974,0.648166010943789,0.664485144485145,0.806137566137566
